PartyAb,PartyNm,MalesNSW,FemalesNSW,UnspecifiedNSW,MalesVIC,FemalesVIC,UnspecifiedVIC,MalesQLD,FemalesQLD,UnspecifiedQLD,MalesWA,FemalesWA,UnspecifiedWA,MalesSA,FemalesSA,UnspecifiedSA,MalesTAS,FemalesTAS,UnspecifiedTAS,MalesACT,FemalesACT,UnspecifiedACT,MalesNT,FemalesNT,UnspecifiedNT,TotalMales,TotalFemales,TotalUnspecified,GrandTotal
AAPP,Australian Antipaedophile Party,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
ADVP,Australian Defence Veterans Party,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4
AEQ,Australian Equality Party (Marriage),0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3
AFN,Australia First Party (NSW) Incorporated,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,4
AJP,Animal Justice Party,3,6,0,9,17,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,14,27,0,41
ALA,Australian Liberty Alliance,4,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10
ALP,Australian Labor Party,26,21,0,24,13,0,17,13,0,9,7,0,9,2,0,2,3,0,1,1,0,2,0,0,90,60,0,150
ARF,Australian Recreational Fishers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,1,0,3
ASP,"Shooters, Fishers and Farmers",1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,6
ASXP,Australian Sex Party,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,6
AUC,Australian Christians,0,0,0,3,3,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,18
AUP,Australian Progressives,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
BTA,Bullet Train For Australia,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,4
CDP,Christian Democratic Party,35,12,0,0,0,0,0,0,0,0,0,0,1,2,0,4,1,0,0,0,0,0,0,0,40,15,0,55
CEC,Citizens Electoral Council,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,1,0,7
CLP,Country Liberals (NT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2
CM,CountryMinded,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
CRNT,Consumer Rights & No-Tolls,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
CYA,Australian Country Party,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3
CYC,Australian Cyclists Party,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
DHJP,Derryn Hinch's Justice Party,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,6
DLP,DLP - Democratic Labour Party,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,3
DRF,Drug Law Reform,1,1,0,6,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,11
FFP,Family First,3,4,0,14,3,0,19,11,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,44,21,0,65
FUT,Science Party,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,10
GLT,Glenn Lazarus Team,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3
GRN,The Greens,25,22,0,18,19,0,16,14,0,8,8,0,6,5,0,1,4,0,0,2,0,2,0,0,76,74,0,150
HMP,HEMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
IND,Independent,38,3,0,21,9,0,20,1,0,3,1,0,6,0,0,1,0,0,1,0,0,4,0,0,94,14,0,108
KAP,Katter's Australian Party,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,12
LDP,Liberal Democrats (LDP),7,1,0,8,0,0,9,2,0,2,0,0,2,0,0,1,0,0,0,0,0,1,0,0,30,3,0,33
LNP,Liberal National Party,0,0,0,0,0,0,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7,0,30
LP,Liberal,27,11,0,26,9,0,0,0,0,12,4,0,8,3,0,4,1,0,1,1,0,0,0,0,78,29,0,107
MAP,Mature Australia Party,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
NCP,Non-Custodial Parents Party,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
NP,The Nationals,8,2,0,7,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,22
ODR,Outdoor Recreation Party (Stop The Greens),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
ON,One Nation,3,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,15
PIR,Pirate Party,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
PUP,Palmer United Party,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
REP,Renewable Energy Party,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,1,0,8
RUA,Rise Up Australia Party,1,0,0,9,9,0,1,2,0,4,3,0,0,0,0,0,0,0,0,0,0,0,2,0,15,16,0,31
SAL,Socialist Alliance,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4
SEP,Socialist Equality Party,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3
SMK,Smokers Rights Party,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
SOL,Online Direct Democracy,5,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,1,0,10
SPP,Sustainable Australia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
TAP,The Arts Party,2,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,2,0,7
VEP,Voluntary Euthanasia Party,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
XEN,Nick Xenophon Team,3,1,0,0,1,0,1,1,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,12,6,0,18
NAFD,Non Affiliated,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
